F1,Metric,Model,LDO Threshold [min],BeforeOR,AfterOR
0.8483709819940879,F1,XGB,0,8753,8753
0.7143608019657087,F1,LR,0,8753,8753
0.8527611398556747,F1,LGBM,0,8753,8753
0.8528029937606068,F1,GBDT,0,8753,8753
0.7965551662235805,F1,KNN,0,8753,8753
0.8525900869080747,F1,RF,0,8753,8753
0.8462642189996648,F1,XGB,1,8753,8753
0.7158000073353054,F1,LR,1,8753,8753
0.8500889128709842,F1,LGBM,1,8753,8753
0.8518451728094091,F1,GBDT,1,8753,8753
0.7944446038382801,F1,KNN,1,8753,8753
0.8519114875957179,F1,RF,1,8753,8753
0.8486064631798108,F1,XGB,2,8753,8753
0.7127760010905794,F1,LR,2,8753,8753
0.8539766188400316,F1,LGBM,2,8753,8753
0.8508280709780117,F1,GBDT,2,8753,8753
0.7908208885388969,F1,KNN,2,8753,8753
0.8527097654448705,F1,RF,2,8753,8753
0.8489875526578419,F1,XGB,3,8753,8753
0.7141146639739797,F1,LR,3,8753,8753
0.8492909805443137,F1,LGBM,3,8753,8753
0.8531653022069774,F1,GBDT,3,8753,8753
0.7920304795017326,F1,KNN,3,8753,8753
0.8519553446458491,F1,RF,3,8753,8753
0.8457545994511245,F1,XGB,4,8753,8753
0.7151100375021144,F1,LR,4,8753,8753
0.8527399045753468,F1,LGBM,4,8753,8753
0.8505342202281199,F1,GBDT,4,8753,8753
0.794817974388334,F1,KNN,4,8753,8753
0.8529812529172642,F1,RF,4,8753,8753
0.8441457995551379,F1,XGB,5,8753,8753
0.7141705404632019,F1,LR,5,8753,8753
0.8475909922844304,F1,LGBM,5,8753,8753
0.8504152706705216,F1,GBDT,5,8753,8753
0.7938158245890845,F1,KNN,5,8753,8753
0.8524538691007532,F1,RF,5,8753,8753
0.8463093667460203,F1,XGB,6,8753,8753
0.715352782035433,F1,LR,6,8753,8753
0.850196727950063,F1,LGBM,6,8753,8753
0.8482885385547053,F1,GBDT,6,8753,8753
0.7962534648901968,F1,KNN,6,8753,8753
0.8564053939911983,F1,RF,6,8753,8753
0.837092887441569,F1,XGB,7,8753,8753
0.7138289794962854,F1,LR,7,8753,8753
0.8501275815155654,F1,LGBM,7,8753,8753
0.8489751023110922,F1,GBDT,7,8753,8753
0.7947945929304155,F1,KNN,7,8753,8753
0.8510209077516325,F1,RF,7,8753,8753
0.8491533152680444,F1,XGB,8,8753,8753
0.7188648388204424,F1,LR,8,8753,8753
0.8492393047581078,F1,LGBM,8,8753,8753
0.8499434557502155,F1,GBDT,8,8753,8753
0.797596807442721,F1,KNN,8,8753,8753
0.8535681727988181,F1,RF,8,8753,8753
0.8453679221647673,F1,XGB,9,8753,8753
0.7137585108996193,F1,LR,9,8753,8753
0.8518012382917792,F1,LGBM,9,8753,8753
0.8504274474149954,F1,GBDT,9,8753,8753
0.7932450830685628,F1,KNN,9,8753,8753
0.8511430014441207,F1,RF,9,8753,8753
0.8422205372434429,F1,XGB,10,8753,8753
0.7135879993876015,F1,LR,10,8753,8753
0.8474256921948736,F1,LGBM,10,8753,8753
0.8452533794876219,F1,GBDT,10,8753,8753
0.7959416968439578,F1,KNN,10,8753,8753
0.8524631511642914,F1,RF,10,8753,8753
