ID,Source,Severity,Distance(mi),Description,Side,County,Airport_Code,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Amenity,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Duration,monthidx,SHour
A-736,MapQuest,3,0.0,Accident on I-280 Northbound at Geneva Ave.,R,San Francisco,KSFO,71.1,55.0,30.04,10.0,NE,4.6,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,10
A-766,MapQuest,3,0.0,#1 lane blocked due to accident on US-101 Southbound at Silver Ave.,R,San Francisco,KSFO,73.0,44.0,30.02,10.0,WNW,19.6,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,12
A-767,MapQuest,2,0.0,Slow lane blocked due to accident on US-101 Southbound at Exit 432 / Cesar Chavez.,R,San Francisco,KOAK,77.0,40.0,30.03,10.0,WNW,11.5,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,12
A-789,MapQuest,3,0.0,Accident on I-280 Northbound at Exit 53 Alemany Blvd.,R,San Francisco,KSFO,71.1,47.0,30.0,10.0,WNW,24.2,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,14
A-809,MapQuest,2,0.0,Accident on US-101 Golden Gate Brg Southbound at Exit 439 Transit Transfer Facility.,R,San Francisco,KSFO,61.0,67.0,29.98,10.0,WNW,20.7,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,20
A-896,MapQuest,3,0.0,Accident on I-280 Southbound at Exit 55 Pennsylvania Ave.,R,San Francisco,KOAK,64.9,61.0,30.02,10.0,West,11.5,Partly Cloudy,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,13
A-916,MapQuest,3,0.0,Accident on I-80 Westbound at Exits 2B 2C Harrison St.,R,San Francisco,KOAK,66.0,59.0,30.01,10.0,West,13.8,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,15
A-956,MapQuest,3,0.0,Multi-vehicle accident on I-80 Eastbound at Exits 2B 2C Harrison St.,R,San Francisco,KOAK,59.0,75.0,30.01,10.0,WSW,12.7,Partly Cloudy,False,False,False,True,False,False,False,False,False,False,False,Night,Night,Night,Day,30,3,22
A-970,MapQuest,2,0.0,Lane blocked due to accident on US-101 Southbound before Exits 433 433B 433C San Francisco-Oakland Bay Bridge.,R,San Francisco,KSFO,54.0,86.0,30.04,10.0,West,11.5,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,60,3,03
A-988,MapQuest,3,0.0,Right hand shoulder blocked due to accident on I-280 Southbound before I-280 Exit 52 / San Jose Ave.,R,San Francisco,KSFO,61.0,62.0,30.08,10.0,WNW,19.6,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,09
A-1010,MapQuest,2,0.0,#1 lane blocked due to accident on US-101 Southbound before Silver Ave.,R,San Francisco,KSFO,64.0,58.0,30.09,10.0,NW,16.1,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,10
A-1015,MapQuest,3,0.0,Accident on I-280 Northbound before Alemany Blvd. On the median.,R,San Francisco,KSFO,64.0,58.0,30.09,10.0,NW,16.1,Partly Cloudy,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,11
A-1022,MapQuest,2,0.0,Accident on US-101 Northbound at Exit 433A Vermont St.,R,San Francisco,KSFO,66.9,49.0,30.09,10.0,WNW,18.4,Clear,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,12
A-1080,MapQuest,2,0.0,Middle lane blocked due to multi-vehicle accident on US-101 Van Ness Ave Northbound at Exits 434A 434B 13th St.,R,San Francisco,KSFO,55.9,90.0,30.09,9.0,WSW,24.2,Overcast,False,True,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,60,3,02
A-1081,MapQuest,3,0.0,Lane blocked due to accident on I-280 Northbound before Exits 54 54A 54B US-101.,R,San Francisco,KSFO,55.9,90.0,30.09,9.0,WSW,24.2,Overcast,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,60,3,02
A-1085,MapQuest,3,0.0,Lane blocked on entry ramp due to accident on I-80 Eastbound at Exits 2B 2C Harrison St.,R,San Francisco,KOAK,57.0,83.0,30.07,10.0,SSW,10.4,Overcast,False,False,False,True,False,False,False,False,False,False,False,Night,Night,Night,Night,60,3,03
A-1172,MapQuest,3,0.0,Accident on Harrison St Eastbound at I-80.,R,San Francisco,KOAK,69.1,54.0,29.98,10.0,WNW,5.8,Clear,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30,3,19
A-1194,MapQuest,3,0.0,Accident on I-280 Northbound at Exits 54 54A 54B US-101.,R,San Francisco,KSFO,59.0,69.0,29.99,10.0,NW,15.0,Clear,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,30,3,22
A-1250,MapQuest,3,0.0,One lane blocked due to accident on I-80 Eastbound at 4th st.,R,San Francisco,KOAK,78.1,40.0,29.95,10.0,WNW,15.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,120,3,13
A-1261,MapQuest,3,0.0,Accident on I-280 Southbound at Exit 52 San Jose Ave.,R,San Francisco,KSFO,70.0,49.0,29.94,10.0,WNW,27.6,Partly Cloudy,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,90,3,15
A-1297,MapQuest,3,0.0,Right hand shoulder blocked due to accident on I-80 Westbound at Exits 2 2A Harrison St.,R,San Francisco,KOAK,59.0,78.0,29.94,10.0,NNW,3.5,Clear,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,30,3,03
A-1307,MapQuest,3,0.0,Slow lane blocked due to accident on I-280 Northbound at Exit 51 Ocean Ave.,R,San Francisco,KSFO,55.0,80.0,29.97,10.0,WNW,10.4,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,45,3,06
A-1365,MapQuest,2,0.0,Right hand shoulder blocked due to accident on US-101 Northbound at Exit 429A Harney Way.,R,San Francisco,KSFO,53.1,89.0,30.01,10.0,WNW,13.8,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,60,3,03
A-1390,MapQuest,3,0.0,Fast lane blocked due to accident on I-280 Northbound after Geneva Ave.,R,San Francisco,KSFO,60.1,67.0,30.03,10.0,WNW,11.5,Partly Cloudy,False,True,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,30,3,09
A-1430,MapQuest,2,0.0,Accident on CA-1 19th Ave Southbound near Buckingham Way.,R,San Francisco,KSFO,68.0,52.0,30.01,10.0,WNW,21.9,Partly Cloudy,False,True,False,False,False,True,False,False,False,False,False,Day,Day,Day,Day,30,3,12
